recipe_id,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes
ph_428,476,30.0,7.0,38.0,1.0,519,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Bicol Express (Manok na Bicol Express); source_url=https://panlasangpinoy.com/chicken-bicol-express/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_442,662,42.0,7.0,52.0,1.0,2754,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Chicken Bistek (Bistek Manok); source_url=https://panlasangpinoy.com/chicken-bistek/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_468,510,45.0,32.0,23.0,5.0,1420,7.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Pork Menudo (Menudong Baboy); source_url=https://panlasangpinoy.com/filipino-pork-menudo/; source_servings=8; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_471,610,49.0,14.0,36.0,4.0,1531,7.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Beef Caldereta (Kalderetang Baka); source_url=https://panlasangpinoy.com/beef-caldereta/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_472,2361,3.5,48.0,239.2,1.2,744,40.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Paksiw Recipe; source_url=https://panlasangpinoy.com/lechon-paksiw-recipe/; source_servings=6; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_477,297,2.5,0.5,32.0,0.2,397,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Kawali Recipe (Fried Pork Belly); source_url=https://panlasangpinoy.com/lechon-kawali/; source_servings=4; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_483,204,3.8,1.7,20.7,0.3,41,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Bicol Express Recipe; source_url=https://panlasangpinoy.com/bicol-express/; source_servings=4; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_484,364,30.0,13.0,21.0,3.0,660,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Afritada Recipe; source_url=https://panlasangpinoy.com/pork-afritada-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_485,523,40.0,35.0,27.0,11.0,656,11.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Pochero Recipe (Pocherong Baka); source_url=https://panlasangpinoy.com/beef-pochero/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_486,558,33.0,9.0,43.0,3.0,1415,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Kaldereta Recipe (Caldereta); source_url=https://panlasangpinoy.com/beef-kaldereta/; source_servings=5; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_497,169,4.0,8.0,14.0,1.0,1106,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Kangkong Recipe; source_url=https://panlasangpinoy.com/adobong-kangkong/; source_servings=5; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_502,700,46.0,48.0,38.0,16.0,608,19.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Pochero Recipe (Pocherong Manok); source_url=https://panlasangpinoy.com/chicken-pochero/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_506,583,37.0,25.0,37.0,5.0,1089,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Afritada Recipe; source_url=https://panlasangpinoy.com/chicken-afritada-recipe/; source_servings=5; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_519,925,57.0,21.0,68.0,8.0,473,10.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baka; source_url=https://panlasangpinoy.com/sinigang-na-baka/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_520,662,42.0,7.0,52.0,1.0,2754,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Bistek; source_url=https://panlasangpinoy.com/chicken-bistek/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_523,169,4.0,8.0,14.0,1.0,1106,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Kangkong; source_url=https://panlasangpinoy.com/adobong-kangkong/; source_servings=4; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_528,451,19.0,9.0,41.0,1.0,410,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laing; source_url=https://panlasangpinoy.com/laing/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_533,330,7.0,1.5,32.8,0.2,306,0.8,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Crispy Pork Binagoongan; source_url=https://panlasangpinoy.com/crispy-pork-binagoongan/; source_servings=8; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_538,700,46.0,48.0,38.0,16.0,608,19.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Pochero; source_url=https://panlasangpinoy.com/chicken-pochero/; source_servings=6; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_543,476,30.0,7.0,38.0,1.0,519,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Bicol Express; source_url=https://panlasangpinoy.com/chicken-bicol-express/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_545,333,10.0,17.0,26.0,7.0,52,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Puso ng Saging; source_url=https://panlasangpinoy.com/ginataang-puso-ng-saging/; source_servings=6; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_555,318,5.0,8.0,29.0,1.0,46,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Gulay; source_url=https://panlasangpinoy.com/ginataang-gulay/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_557,265,35.0,11.0,7.0,4.0,110,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Paksiw na Bangus; source_url=https://panlasangpinoy.com/paksiw-na-bangus/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_561,297,2.5,0.5,32.0,0.2,397,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Kawali; source_url=https://panlasangpinoy.com/lechon-kawali/; source_servings=8; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_564,294,13.0,25.0,17.0,6.0,61,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Talong; source_url=https://panlasangpinoy.com/ginataang-talong/; source_servings=6; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_565,138,3.0,8.0,11.0,2.0,762,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Itlog; source_url=https://panlasangpinoy.com/adobong-itlog/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_569,45,6.0,7.0,0.2,1.0,2595,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw na Pusit (Grilled Squid); source_url=https://panlasangpinoy.com/inihaw-na-pusit-grilled-squid/; source_servings=4; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_571,646,45.0,6.0,48.0,1.0,1171,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Adobo; source_url=https://panlasangpinoy.com/chicken-adobo/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_581,204,3.8,1.7,20.7,0.3,41,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Bicol Express; source_url=https://panlasangpinoy.com/bicol-express/; source_servings=6; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_582,771,54.0,32.0,48.0,12.0,4788,16.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Corned Beef Sinigang; source_url=https://panlasangpinoy.com/corned-beef-sinigang/; source_servings=4; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_583,364,30.0,13.0,21.0,3.0,660,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Afritada; source_url=https://panlasangpinoy.com/pork-afritada/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_596,1375,50.0,147.0,78.0,27.0,2129,44.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Suam na Mais; source_url=https://panlasangpinoy.com/suam-na-mais/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_598,825,16.0,9.0,80.0,4.0,547,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baboy; source_url=https://panlasangpinoy.com/sinigang-na-baboy/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_605,465,15.0,48.0,23.0,1.0,282,0.4,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobo Fried Rice Recipe; source_url=https://panlasangpinoy.com/adobo-fried-rice/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_619,771,54.0,32.0,48.0,12.0,4788,16.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Corned Beef Sinigang Recipe; source_url=https://panlasangpinoy.com/corned-beef-sinigang/; source_servings=6; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_623,305,46.0,6.0,9.0,1.0,1301,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw Na Bangus Recipe; source_url=https://panlasangpinoy.com/inihaw-na-bangus-recipe/; source_servings=3; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_627,45,6.0,7.0,0.2,1.0,2595,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw na Pusit Recipe; source_url=https://panlasangpinoy.com/inihaw-na-pusit/; source_servings=6; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_631,886,19.0,59.0,68.0,19.0,1480,20.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Fish Pochero Recipe; source_url=https://panlasangpinoy.com/fish-pochero/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_636,946,59.0,35.0,66.0,12.0,1040,16.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Kare-Kare Recipe; source_url=https://panlasangpinoy.com/chicken-kare-kare-recipe/; source_servings=4; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_650,421,11.2,18.0,35.0,6.0,282,5.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pochero Recipe With Pork And Beans; source_url=https://panlasangpinoy.com/pochero-with-pork-and-beans/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_668,264,20.0,8.0,18.0,3.0,1039,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Apan-Apan Recipe; source_url=https://panlasangpinoy.com/apan-apan-recipe/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_674,662,42.0,7.0,52.0,1.0,2754,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Bistek Recipe; source_url=https://panlasangpinoy.com/chicken-bistek/; source_servings=5; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_715,825,16.0,9.0,80.0,4.0,547,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baboy Recipe (Tagalog Recipe); source_url=https://panlasangpinoy.com/sinigang-na-baboy/; source_servings=2 to 3; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_722,276,8.2,3.5,25.2,0.8,250,2.0,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Binagoongan Recipe (Tagalog Version); source_url=https://panlasangpinoy.com/pork-binagoongan-recipe/; source_servings=5 to 6; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_743,463,4.0,14.0,46.0,4.0,143,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Tulingan Recipe; source_url=https://panlasangpinoy.com/ginataang-tulingan/; source_servings=5; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_749,925,57.0,21.0,68.0,8.0,473,10.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baka Recipe; source_url=https://panlasangpinoy.com/sinigang-na-baka-recipe/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_774,1123,17.8,20.5,107.5,3.0,2932,12.5,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Crispy Dinuguan Recipe; source_url=https://panlasangpinoy.com/crispy-dinuguan/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_778,204,3.8,1.7,20.7,0.3,41,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Bicol Express Recipe; source_url=https://panlasangpinoy.com/bicol-express/; source_servings=6; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_813,618,18.0,12.0,59.0,2.0,323,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laing Recipe; source_url=https://panlasangpinoy.com/laing-recipe/; source_servings=10; source_recipe_yield=8.0; source_basis=source_published_per_serving
ph_825,618,18.0,12.0,59.0,2.0,323,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laing (Taro Leaves in Coconut Milk) Recipe; source_url=https://panlasangpinoy.com/laing-recipe/; source_servings=8 to 10; source_recipe_yield=8.0; source_basis=source_published_per_serving
ph_838,551,19.0,71.0,21.0,4.0,2254,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Bato Recipe; source_url=https://panlasangpinoy.com/pancit-bato/; source_servings=3 to 5; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_840,318,5.0,8.0,29.0,1.0,46,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Gulay Recipe; source_url=https://panlasangpinoy.com/ginataang-gulay-recipe/; source_servings=8; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_846,169,4.0,8.0,14.0,1.0,1106,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Kangkong Recipe; source_url=https://panlasangpinoy.com/adobong-kangkong/; source_servings=4; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_849,2361,3.5,48.0,239.2,1.2,744,40.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Paksiw Recipe; source_url=https://panlasangpinoy.com/lechon-paksiw-recipe/; source_servings=2 to 3; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_855,315,5.0,80.0,1.0,9.0,794,49.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Hipon sa Sampaloc Recipe; source_url=https://panlasangpinoy.com/sinigang-na-hipon-sa-sampaloc/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_866,92,13.0,9.0,1.0,2.0,453,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laswa (Vegetable Soup) Recipe; source_url=https://panlasangpinoy.com/laswa-recipe/; source_servings=3; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_882,496,20.0,58.0,20.0,3.0,1341,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Bam-I (Pancit Bisaya) Recipe; source_url=https://panlasangpinoy.com/bam-i/; source_servings=2 to 3; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_886,481,14.0,53.0,26.0,3.0,1480,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Habhab (Pancit Lucban) Recipe; source_url=https://panlasangpinoy.com/pancit-habhab-recipe/; source_servings=2; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_894,825,16.0,9.0,80.0,4.0,547,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baboy Recipe; source_url=https://panlasangpinoy.com/sinigang-na-baboy/; source_servings=2 to 3; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_929,476,30.0,7.0,38.0,1.0,519,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Bicol Express; source_url=https://panlasangpinoy.com/chicken-bicol-express/; source_servings=2 to 3; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_934,1055,57.8,42.0,73.2,6.5,936,9.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Menudo; source_url=https://panlasangpinoy.com/menudo/; source_servings=5 to 6; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_937,364,30.0,13.0,21.0,3.0,660,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Afritada Recipe; source_url=https://panlasangpinoy.com/pork-afritada-recipe/; source_servings=5; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_938,646,45.0,6.0,48.0,1.0,1171,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Adobo Recipe; source_url=https://panlasangpinoy.com/chicken-adobo/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_946,451,5.0,10.0,46.0,1.0,980,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Tilapia Recipe (Fish Cooked in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-tilapia/; source_servings=4; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_948,276,8.2,3.5,25.2,0.8,250,2.0,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Binagoongan Recipe; source_url=https://panlasangpinoy.com/pork-binagoongan-recipe/; source_servings=5 to 6; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_950,429,13.0,19.0,36.0,1.0,283,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,"title=Ginataang Hipon, Sitaw at Kalabasa Recipe (Shrimp in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-hipon-sitaw-at-kalabasa/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving"
ph_969,847,22.0,39.0,69.0,14.0,847,17.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pochero Recipe; source_url=https://panlasangpinoy.com/pochero/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_970,405,23.0,46.0,15.0,4.0,1793,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Palabok Recipe; source_url=https://panlasangpinoy.com/pancit-palabok-recipe/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_974,583,37.0,25.0,37.0,5.0,1089,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Afritada Recipe; source_url=https://panlasangpinoy.com/chicken-afritada-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_985,435,53.0,26.0,16.0,9.0,1657,12.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang Sa Miso Recipe; source_url=https://panlasangpinoy.com/sinigang-sa-miso/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_992,406,33.0,64.0,3.0,17.0,865,9.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginisang Monggo; source_url=https://panlasangpinoy.com/ginisang-monggo/; source_servings=5 to 6; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_995,247,8.0,1.4,23.0,0.2,369,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Sisig Recipe; source_url=https://panlasangpinoy.com/pork-sisig/; source_servings=5 to 6; source_recipe_yield=5.0; source_basis=normalized_by_source_recipe_yield
ph_1009,320,11.0,42.0,13.0,5.0,998,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Canton Recipe; source_url=https://panlasangpinoy.com/pancit-canton-recipe/; source_servings=2 to 3; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_1052,228,5.2,2.2,22.2,1.0,73,0.8,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Binagoongan sa Gata Recipe; source_url=https://panlasangpinoy.com/pork-binagoongan-sa-gata/; source_servings=4; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_342,333,10.0,17.0,26.0,7.0,52,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Puso ng Saging (Creamy Coconut Banana Heart Stew); source_url=https://panlasangpinoy.com/ginataang-puso-ng-saging/; source_servings=6; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_465,45,6.0,7.0,0.2,1.0,2595,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw na Pusit (Filipino Grilled Stuffed Squid); source_url=https://panlasangpinoy.com/inihaw-na-pusit/; source_servings=4; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_534,405,23.0,46.0,15.0,4.0,1793,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Palabok; source_url=https://panlasangpinoy.com/pancit-palabok/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_660,317,4.2,0.8,32.8,0.2,213,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Sizzling Crispy Sisig; source_url=https://panlasangpinoy.com/sizzling-crispy-sisig/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_913,156,6.0,5.0,12.0,1.0,1123,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Sitaw (Adobo-style String Beans) Recipe; source_url=https://panlasangpinoy.com/adobong-sitaw/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_954,297,2.5,0.5,32.0,0.2,397,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Kawali Recipe; source_url=https://panlasangpinoy.com/lechon-kawali/; source_servings=4; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_1004,478,48.0,5.0,29.0,1.0,306,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Papaitan Recipe; source_url=https://panlasangpinoy.com/beef-papaitan/; source_servings=5 to 6; source_recipe_yield=6.0; source_basis=source_published_per_serving
